80,30,121,108,42,75,72,2,128,14,1
96,12,47,64,11,8,85,101,74,28,0
21,41,87,28,73,74,62,22,42,75,1
11,129,42,14,6,102,86,32,99,7,1
28,75,63,36,84,8,27,43,69,121,0
60,121,71,113,49,44,25,32,30,69,1
96,67,92,121,3,1,87,29,13,68,0
92,84,22,95,54,23,6,15,27,50,0
14,83,92,114,8,35,62,22,93,42,1
33,92,121,44,23,94,26,42,108,64,0
42,87,92,121,29,26,28,43,56,83,1
95,92,105,76,88,67,5,27,41,35,0
12,48,7,129,90,14,94,45,62,63,1
28,63,128,92,121,35,65,7,17,120,1
12,16,30,41,92,49,95,62,60,85,0
103,48,7,129,10,37,15,84,28,109,0
17,70,129,121,9,76,42,62,84,49,0
45,71,56,62,47,99,105,21,76,44,0
92,108,47,12,13,22,2,71,45,42,1
95,129,121,11,50,47,7,104,8,26,1
86,21,29,39,15,2,11,58,42,31,0
87,44,92,112,99,104,23,26,101,12,1
23,92,86,7,41,26,10,93,63,129,1
121,92,75,41,42,81,27,16,85,21,0
84,29,6,75,47,86,74,51,44,28,1
87,67,93,129,121,35,23,48,29,110,1
14,92,123,10,27,21,50,48,42,87,1
29,27,73,49,26,87,42,35,93,123,1
11,42,123,86,50,44,7,85,21,104,1
92,102,44,25,14,12,35,75,42,34,1
11,108,63,79,68,29,62,14,101,1,0
75,92,12,99,68,35,26,15,54,7,1
49,30,13,84,56,44,67,50,29,14,1
119,36,60,73,12,22,23,32,68,16,1
114,121,39,102,29,86,70,129,17,110,1
7,108,56,55,13,84,63,32,28,5,1
7,22,60,94,47,110,29,84,70,48,0
109,75,123,76,60,80,84,5,99,67,0
126,66,21,73,75,50,104,14,8,32,1
121,81,8,26,43,16,28,90,59,44,1
70,82,47,35,83,49,32,62,19,92,1
28,121,119,9,6,41,49,123,21,40,1
84,121,67,31,102,41,112,29,94,28,1
85,11,28,84,121,94,93,7,99,26,1
94,129,114,121,85,87,21,17,41,56,0
31,16,108,93,17,94,120,19,104,14,1
28,8,110,121,40,21,42,50,96,37,1
17,29,27,114,63,103,7,18,35,86,0
121,42,28,21,25,99,68,30,12,10,0
83,114,103,25,63,7,76,44,84,42,0
39,105,16,83,56,27,62,8,30,35,0
12,75,84,5,60,2,17,32,123,64,0
74,129,25,93,121,16,4,135,40,27,0
119,8,94,96,62,114,135,26,28,22,1
22,129,54,67,99,95,112,43,81,85,1
120,74,9,50,18,135,84,102,129,101,1
29,12,39,2,77,72,22,26,86,81,0
88,12,19,102,39,107,54,72,26,73,0
84,86,99,44,23,95,74,78,31,14,1
62,99,93,9,100,103,88,27,17,12,0
37,44,104,17,110,119,27,22,63,8,0
44,126,60,58,86,56,10,84,4,9,0
35,62,98,10,17,63,73,21,41,23,0
129,14,44,105,121,106,27,67,25,104,0
8,74,44,25,35,37,12,39,27,99,0
62,41,10,40,81,94,17,31,123,15,1
22,51,8,28,11,64,108,50,71,4,0
106,74,57,121,42,39,91,93,13,44,1
47,7,54,58,123,48,94,64,38,26,1
104,68,34,3,48,111,35,105,21,62,0
49,22,74,32,9,8,26,84,90,35,1
32,91,88,49,47,99,119,109,62,22,0
91,111,44,28,73,98,1,92,60,27,1
91,74,67,27,13,72,2,76,71,57,0
40,97,44,35,27,120,2,67,62,21,0
128,44,76,42,58,21,110,32,20,14,0
64,104,5,49,44,16,123,126,101,114,0
53,3,14,106,56,93,5,21,63,114,1
76,110,51,95,21,62,7,22,44,2,0
76,123,6,88,79,17,5,28,86,83,1
46,48,69,5,25,14,75,52,32,71,1
26,88,47,1,74,86,67,28,119,22,1
99,62,10,74,50,40,49,48,64,86,0
53,32,28,74,49,126,44,99,90,42,1
76,69,101,32,57,114,54,17,88,128,1
22,49,99,70,128,25,32,29,62,35,0
33,2,104,76,32,35,40,108,72,68,0
67,128,3,29,106,104,9,49,54,50,1
70,26,75,45,35,8,7,86,25,52,0
1,128,76,18,37,34,96,52,71,7,1
123,62,28,44,14,54,11,31,29,128,0
42,15,62,14,31,26,106,53,107,1,0
42,45,62,23,11,26,49,123,51,35,0
7,6,62,102,69,73,87,9,16,35,1
59,76,62,8,37,94,14,87,84,46,0
112,44,43,78,2,16,64,42,15,91,0
29,74,42,112,121,104,44,123,88,43,0
45,74,95,60,42,104,32,17,84,21,1
111,10,49,128,32,86,71,99,36,7,1
69,6,17,93,30,129,8,110,76,123,1
54,32,93,40,62,101,21,27,2,1,0
13,129,11,44,40,62,64,32,43,8,0
106,44,28,83,123,104,5,54,71,68,1
105,14,31,54,45,3,42,39,19,70,0
62,8,129,68,33,35,96,26,11,10,1
101,102,27,14,42,21,104,37,56,126,0
68,32,107,26,104,10,7,99,90,106,1
49,60,95,64,79,1,123,7,89,32,0
12,86,2,21,16,108,128,27,13,44,0
5,31,12,101,63,44,9,7,37,21,0
47,83,42,62,56,86,120,123,7,1,1
36,28,44,22,14,74,85,93,97,21,0
21,50,109,18,104,7,44,119,39,88,1
26,71,47,32,119,59,1,90,69,84,0
45,14,69,48,73,28,25,68,60,44,0
39,109,84,21,42,25,18,36,14,35,1
74,75,46,69,18,129,114,26,39,94,0
11,102,9,84,8,44,30,13,98,81,0
73,31,25,2,44,28,114,84,21,17,1
28,52,6,71,86,105,97,101,17,15,1
76,21,55,95,121,104,15,84,112,47,0
123,129,11,6,65,10,104,31,48,111,0
128,104,26,11,41,86,84,99,32,36,1
25,76,30,6,100,75,87,8,4,28,1
14,65,34,27,93,106,7,2,11,119,1
86,32,49,58,51,120,33,126,17,27,0
93,121,49,71,12,8,6,84,21,62,1
68,49,51,102,93,2,10,112,44,20,0
27,42,22,56,29,84,75,32,1,39,0
67,5,49,129,88,51,62,52,95,121,1
41,11,64,76,32,54,22,108,86,62,0
14,72,69,52,123,75,50,120,94,70,1
51,22,71,54,43,39,109,13,31,64,1
106,121,8,26,38,76,100,32,5,97,1
7,48,114,81,85,6,128,11,102,2,1
5,22,128,129,54,11,75,49,62,64,1
99,32,38,84,35,54,20,53,95,75,0
43,111,129,123,67,35,44,28,17,86,0
6,38,93,68,84,2,74,9,8,39,1
38,52,63,87,88,30,12,71,2,21,1
26,38,48,57,25,93,71,88,114,120,1
14,68,17,69,42,44,86,123,99,39,0
128,135,67,17,30,42,2,62,26,14,0
62,28,48,12,111,88,22,6,86,2,1
86,109,26,112,95,48,39,101,18,50,1
68,62,41,35,61,28,95,50,21,5,0
19,86,61,14,18,109,110,135,62,26,0
121,110,23,8,16,84,17,28,70,20,1
19,101,26,67,55,11,88,56,71,75,0
9,37,1,6,55,86,21,90,48,104,0
44,88,59,14,55,21,38,106,27,74,0
39,10,128,71,73,7,68,48,62,114,0
51,121,21,6,16,5,81,84,76,41,0
41,60,22,26,107,49,99,67,50,43,0
